YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2017-01,6,2461,902,3012,6658
2017-02,21,2575,944,3317,7748
2017-03,21,3108,1103,4316,10251
2017-04,10,2229,814,3489,7763
2017-05,10,2914,1232,4405,9944
2017-06,5,469,229,751,1435
2017-07,0,138,38,27,17
2017-08,6,609,214,857,1270
2017-09,19,1187,537,2321,4273
2017-10,3,931,390,1751,3327
2017-11,2,742,333,1337,2490
2017-12,0,448,155,759,1676
2018-01,2,435,137,741,1596
2018-02,2,263,91,458,812
2018-03,5,247,99,431,742
2018-04,4,218,70,370,608
2018-05,1,110,29,290,444
2018-06,4,79,35,201,410
2018-07,0,75,42,200,297
2018-08,1,183,48,212,308
2018-09,8,157,72,250,314
2018-10,5,216,71,269,323
2018-11,2,164,84,261,351
2018-12,0,101,40,171,196
