YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2017-01,2,29,6,16,203,440
2017-02,3,53,18,17,239,346
2017-03,0,47,15,39,253,310
2017-04,0,34,9,20,187,239
2017-05,4,99,33,60,740,426
2017-06,0,37,21,45,341,199
2017-07,1,44,11,38,288,301
2017-08,5,53,15,42,236,244
2017-09,2,35,10,43,179,230
2017-10,4,40,15,35,181,184
2017-11,3,65,13,74,256,200
2017-12,1,36,5,36,156,135
2018-01,0,30,12,40,177,143
2018-02,1,59,8,21,192,152
2018-03,2,30,10,30,212,143
2018-04,1,46,1,25,184,149
2018-05,1,21,4,17,139,124
2018-06,0,13,4,11,122,117
2018-07,3,11,0,11,94,119
2018-08,2,11,2,21,110,110
2018-09,1,19,3,14,146,113
2018-10,2,35,4,11,203,115
2018-11,0,25,4,10,173,131
2018-12,1,20,1,12,130,106
