YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2020-10,Albanien,121,78,46,32,69,0,0,0,0,45,24,162,60,0,0,0,0,43,6,0,0,0,0,2,14,4
2020-10,Bosnien und Herzegowina,122,50,19,31,23,0,0,0,0,7,16,41,35,0,0,0,0,7,3,0,0,0,0,0,13,0
2020-10,Belgien,124,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10,Bulgarien,125,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020-10,Italien,137,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10,Montenegro,140,14,5,9,10,0,0,0,0,3,7,11,17,0,0,0,0,2,0,0,0,0,0,1,7,0
2020-10,Litauen,142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10,Nordmazedonien,144,42,15,27,65,0,0,0,0,20,45,77,89,0,0,0,0,20,9,0,0,0,0,0,28,8
2020-10,"Moldau, Republik",146,163,92,71,232,0,0,0,0,95,137,152,42,0,0,0,0,95,45,0,0,0,0,0,53,39
2020-10,Niederlande,148,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10,Norwegen,149,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2020-10,Kosovo,150,41,16,25,43,0,0,0,1,20,22,67,71,0,0,0,1,15,4,0,0,0,0,5,17,1
2020-10,Oesterreich,151,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-10,Polen,152,1,1,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-10,Portugal,153,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-10,Rumaenien,154,1,1,0,2,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-10,Schweden,157,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10,Schweiz,158,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-10,Russische Foederation,160,195,105,90,352,4,13,5,3,144,183,438,262,4,4,1,2,139,94,0,9,4,1,5,47,42
2020-10,Spanien,161,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10,Tuerkei,163,530,466,64,600,12,200,2,2,310,74,3298,294,12,186,2,1,290,37,0,14,0,1,20,32,5
2020-10,Tschechien,164,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10,Ungarn,165,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10,Ukraine,166,57,35,22,75,0,0,0,1,49,25,121,48,0,0,0,1,48,5,0,0,0,0,1,17,3
2020-10,Grossbritannien mit Nordirland,168,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-10,Weissrussland,169,8,7,1,3,0,0,0,0,1,2,19,4,0,0,0,0,0,0,0,0,0,0,1,2,0
2020-10,Serbien,170,82,31,51,82,0,0,0,0,31,51,132,135,0,0,0,0,28,17,0,0,0,0,3,31,3
2020-10,Algerien,221,166,139,27,123,0,0,0,0,55,68,301,72,0,0,0,0,49,52,0,0,0,0,6,7,9
2020-10,Angola,223,6,5,1,36,0,0,0,5,16,15,120,4,0,0,0,5,15,14,0,0,0,0,1,0,1
2020-10,Eritrea,224,200,191,9,285,2,162,64,14,23,20,992,60,2,160,63,8,21,10,0,2,1,6,2,5,5
2020-10,Aethiopien,225,79,50,29,122,0,21,1,9,55,36,222,119,0,19,1,4,52,4,0,2,0,5,3,28,4
2020-10,Benin,229,3,3,0,8,0,0,0,0,7,1,25,2,0,0,0,0,6,1,0,0,0,0,1,0,0
2020-10,Dschibuti,230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10,Elfenbeinkueste (Cote d Ivoire),231,11,11,0,35,0,2,3,1,20,9,125,11,0,1,3,1,18,8,0,1,0,0,2,0,1
2020-10,Nigeria,232,247,182,65,553,1,26,2,26,303,195,1517,326,1,26,2,19,290,101,0,0,0,7,13,39,55
2020-10,Simbabwe,233,2,2,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10,Gabun,236,0,0,0,3,0,0,0,0,2,1,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0
2020-10,Gambia,237,65,53,12,82,0,4,0,1,30,47,251,52,0,4,0,0,30,34,0,0,0,1,0,6,7
2020-10,Ghana,238,39,33,6,73,1,0,1,5,37,29,203,29,1,0,1,2,35,12,0,0,0,3,2,6,11
2020-10,Mauretanien,239,0,0,0,7,0,6,0,0,1,0,14,1,0,6,0,0,1,0,0,0,0,0,0,0,0
2020-10,Kenia,243,9,5,4,26,0,0,0,0,18,8,33,6,0,0,0,0,16,1,0,0,0,0,2,5,2
2020-10,Komoren,244,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10,Kongo,245,1,1,0,3,0,0,0,0,3,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0
