YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2019-01,4,190,70,307,375
2019-02,4,178,49,253,279
2019-03,7,183,45,197,260
2019-04,2,172,49,191,206
2019-05,3,164,44,239,231
2019-06,2,116,32,158,208
2019-07,2,148,32,149,205
2019-08,7,107,22,188,167
2019-09,0,96,32,200,185
2019-10,2,106,34,176,177
2019-11,0,144,42,176,219
2019-12,0,95,29,143,177
2020-01,9,117,41,228,219
2020-02,1,118,47,163,255
2020-03,11,110,27,182,197
2020-04,1,108,26,50,106
2020-05,1,110,76,323,381
2020-06,1,157,48,257,330
2020-07,1,141,36,235,265
2020-08,9,99,41,219,158
2020-09,3,129,31,194,211
2020-10,3,134,35,214,176
2020-11,2,121,54,241,286
2020-12,7,148,35,232,211
