YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2019-01,0,0,0,3,354
2019-02,0,0,0,2,362
2019-03,0,0,0,2,339
2019-04,0,0,1,0,260
2019-05,0,1,0,2,223
2019-06,0,0,0,2,184
2019-07,0,0,0,0,206
2019-08,0,2,0,1,215
2019-09,0,1,0,0,209
2019-10,0,0,0,1,147
2019-11,0,0,0,3,132
2019-12,0,0,0,1,204
2020-01,0,0,0,2,275
2020-02,0,1,0,1,295
2020-03,0,0,0,3,142
2020-04,0,0,0,0,17
2020-05,0,0,0,0,243
2020-06,0,0,1,2,142
2020-07,0,0,2,3,149
2020-08,0,2,0,1,110
2020-09,0,0,0,2,88
2020-10,0,0,0,1,113
2020-11,0,0,0,1,126
2020-12,0,1,2,1,83
