YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2019-01,5,58,4,44,520
2019-02,4,61,17,50,542
2019-03,3,44,13,46,568
2019-04,2,42,16,33,584
2019-05,1,40,4,31,612
2019-06,0,36,4,34,417
2019-07,3,26,5,37,442
2019-08,3,19,6,29,436
2019-09,2,23,7,20,365
2019-10,0,23,3,26,354
2019-11,0,28,4,32,356
2019-12,0,24,10,12,254
2020-01,3,23,4,44,324
2020-02,0,9,3,13,264
2020-03,3,26,3,21,270
2020-04,0,5,2,10,177
2020-05,0,26,4,40,618
2020-06,1,38,7,48,401
2020-07,1,28,5,14,454
2020-08,0,32,2,19,225
2020-09,2,18,0,14,267
2020-10,1,26,2,26,303
2020-11,4,20,6,25,341
2020-12,1,17,8,13,253
