YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2019-01,11,158,153,26,43
2019-02,0,145,91,50,48
2019-03,3,230,94,41,33
2019-04,1,202,87,54,26
2019-05,0,176,61,46,32
2019-06,16,166,50,28,21
2019-07,7,175,56,33,19
2019-08,1,141,56,25,35
2019-09,3,168,56,27,30
2019-10,3,175,57,25,31
2019-11,0,180,43,19,30
2019-12,2,162,40,18,24
2020-01,6,201,76,26,33
2020-02,3,151,47,25,24
2020-03,3,209,54,20,20
2020-04,4,124,22,8,8
2020-05,3,145,72,35,57
2020-06,1,227,71,28,38
2020-07,5,187,58,20,30
2020-08,2,150,37,13,13
2020-09,5,165,55,17,23
2020-10,2,162,64,14,23
2020-11,5,170,66,21,29
2020-12,3,150,43,19,12
