YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2019-01,4,179,32,29,108
2019-02,3,153,37,33,136
2019-03,4,155,26,31,132
2019-04,3,125,29,21,64
2019-05,3,140,25,20,80
2019-06,4,119,26,18,71
2019-07,5,129,21,20,94
2019-08,2,105,19,21,80
2019-09,1,133,26,14,78
2019-10,2,141,24,19,57
2019-11,3,158,27,26,55
2019-12,0,86,27,12,38
2020-01,4,147,30,20,60
2020-02,6,121,19,30,57
2020-03,2,111,21,21,40
2020-04,7,103,6,5,12
2020-05,6,82,44,27,84
2020-06,2,110,29,20,77
2020-07,4,94,31,23,48
2020-08,2,97,15,16,31
2020-09,3,124,11,10,45
2020-10,5,124,8,12,41
2020-11,4,129,26,21,30
2020-12,5,105,21,20,37
