YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2017-01,7,24,8,14,120
2017-02,12,25,15,2,53
2017-03,10,32,27,5,36
2017-04,1,47,44,25,47
201705,7,48,14,18,70
2017-06,2,9,8,9,44
2017-07,1,11,18,3,29
2017-08,2,19,14,6,42
2017-09,0,22,2,6,19
2017-10,8,14,2,16,32
2017-11,1,13,3,14,27
2017-12,2,16,5,4,52
2018-01,2,3,6,14,60
2018-02,0,2,2,5,33
2018-03,0,5,6,9,45
2018-04,2,12,8,14,40
2018-05,0,8,1,1,47
2018-06,1,8,1,14,33
2018-07,0,3,3,4,41
2018-08,0,5,5,6,37
2018-09,1,2,2,4,31
2018-10,0,5,10,5,13
