YEAR_MONTH,Herkunftsland,Entscheidungen insgesamt,Ablehnungen,sonstige Erledigungen, bereinigte Schutzquote, BAMF-Schutzquote
201605,Albanien,2766,2121,637,0.375763,0.289226
201605,Bosnien und Herzegowina,619,322,292,1.52905,0.807754
201605,Belgien,0,0,0,nd,nd
201605,Bulgarien,1,0,1,nd,nd
201605,Estland,0,0,0,nd,nd
201605,Frankreich,0,0,0,nd,nd
201605,Kroatien,0,0,0,nd,nd
201605,Slowenien,0,0,0,nd,nd
201605,Griechenland,1,0,1,nd,nd
201605,Italien,0,0,0,nd,nd
201605,Jugoslawien (SFRJ),0,0,0,nd,nd
201605,Lettland,0,0,0,nd,nd
201605,Montenegro,219,156,58,3.10559,2.28311
201605,Litauen,0,0,0,nd,nd
201605,Mazedonien,1226,670,554,0.297619,0.163132
201605,Moldau (Republik),261,192,69,0,0
201605,Niederlande,0,0,0,nd,nd
201605,Kosovo,1856,1449,395,0.821355,0.646552
201605,Polen,0,0,0,nd,nd
201605,Portugal,0,0,0,nd,nd
201605,Rumänien,0,0,0,nd,nd
201605,Slowakische Republik,0,0,0,nd,nd
201605,Schweden,0,0,0,nd,nd
201605,Schweiz,0,0,0,nd,nd
201605,Russische Föderation,674,149,505,11.8343,2.96736
201605,Spanien,1,0,1,nd,nd
201605,Türkei,65,23,40,8,3.07692
201605,Tschechische Republik,0,0,0,nd,nd
201605,Ungarn,0,0,0,nd,nd
201605,Ukraine,391,178,201,6.31579,3.06905
201605,Großbritannien mit Nordirland,0,0,0,nd,nd
201605,Weißrussland,9,1,8,0,0
201605,Serbien,1973,970,1001,0.205761,0.101368
201605,sonst. europ. Staatsangeh.,0,0,0,nd,nd
201605,Algerien,534,268,251,5.30035,2.80899
201605,Angola,6,6,0,nd,nd
201605,Eritrea,1436,4,88,99.7033,93.5933
201605,Äthiopien,107,78,7,22,20.5607
201605,Botsuana,0,0,0,nd,nd
201605,Benin,12,9,3,0,0
201605,Dschibuti,0,0,0,nd,nd
201605,Elfenbeinküste (Cote d Ivoire),15,4,11,0,0
201605,Nigeria,77,24,48,17.2414,6.49351
201605,Simbabwe,3,1,2,0,0
201605,Gabun,0,0,0,nd,nd
201605,Gambia,39,9,27,25,7.69231
201605,Ghana,68,44,23,2.22222,1.47059
201605,Mauretanien,9,0,9,nd,nd
201605,Cabo Verde,0,0,0,nd,nd
201605,Kenia,5,0,5,nd,nd
201605,Komoren,0,0,0,nd,nd
201605,Kongo,0,0,0,nd,nd
201605,"Kongo, Dem. Republik",10,8,0,nd,nd
201605,Liberia,6,2,4,0,0
201605,Libyen,25,4,10,73.3333,44
201605,Mali,14,4,10,0,0
201605,Marokko,319,178,126,7.77202,4.70219
201605,Mauritius,0,0,0,nd,nd
201605,Mosambik,0,0,0,nd,nd
201605,Niger,11,6,5,0,0
201605,Malawi,0,0,0,nd,nd
201605,Sambia,0,0,0,nd,nd
201605,Burkina-Faso,17,14,3,0,0
201605,Guinea-Bissau,29,11,16,15.3846,6.89655
201605,Guinea,24,10,9,33.3333,20.8333
201605,Kamerun,24,6,18,0,0
201605,Südafrika,0,0,0,nd,nd
201605,Ruanda,1,0,1,nd,nd
201605,Namibia,0,0,0,nd,nd
201605,Senegal,148,117,25,4.87805,4.05405
201605,Sierra Leone,4,0,4,nd,nd
201605,Somalia,230,13,56,92.5287,70
201605,Äquatorialguinea,0,0,0,nd,nd
201605,Sudan (ohne Südsudan),37,3,19,83.3333,40.5405
201605,Südsudan,0,0,0,nd,nd
201605,Tansania,0,0,0,nd,nd
201605,Togo,4,1,3,0,0
201605,Tschad,7,0,3,100,57.1429
201605,Tunesien,154,93,61,0,0
201605,Uganda,4,0,3,100,25
201605,Ägypten,91,59,26,9.23077,6.59341
201605,Zentralafrikanische Republik,0,0,0,nd,nd
201605,Burundi,1,1,0,nd,nd
201605,sonst. afrik. Staatsangeh.,13,9,4,0,0
201605,Argentinien,0,0,0,nd,nd
201605,Bolivien,0,0,0,nd,nd
201605,Brasilien,0,0,0,nd,nd
201605,Belize,0,0,0,nd,nd
201605,Dominikanische Republik,0,0,0,nd,nd
201605,Ecuador,0,0,0,nd,nd
201605,El Salvador,0,0,0,nd,nd
201605,Guatemala,0,0,0,nd,nd
201605,Haiti,0,0,0,nd,nd
201605,Honduras,0,0,0,nd,nd
201605,Kanada,0,0,0,nd,nd
201605,Kolumbien,0,0,0,nd,nd
201605,Kuba,2,0,2,nd,nd
201605,Mexico,0,0,0,nd,nd
201605,Nicaragua,0,0,0,nd,nd
201605,Jamaica,1,0,1,nd,nd
201605,Paraguay,0,0,0,nd,nd
201605,Peru,0,0,0,nd,nd
201605,Venezuela,2,2,0,nd,nd
201605,Vereinigte Staaten v. Amerika,0,0,0,nd,nd
201605,Britisch abh.Geb.Amerika,0,0,0,nd,nd
201605,Jemen,9,0,6,100,33.3333
201605,Armenien,50,26,23,3.7037,2
201605,Afghanistan,1428,591,220,51.0762,43.2073
201605,Bahrain,0,0,0,nd,nd
201605,Aserbaidschan,66,38,24,9.52381,6.06061
201605,Bhutan,0,0,0,nd,nd
201605,Myanmar,1,1,0,nd,nd
201605,Georgien,330,169,160,0.588235,0.30303
201605,Sri Lanka,19,7,8,36.3636,21.0526
201605,Vietnam,29,8,20,11.1111,3.44828
201605,Korea (Demokrat. Volksrepubl.),1,0,1,nd,nd
201605,Indien,151,107,44,0,0
201605,Indonesien,0,0,0,nd,nd
201605,Irak,2203,276,356,85.0568,71.3118
201605,"Iran, Islamische Republik",275,52,89,72.043,48.7273
201605,Israel,1,0,1,nd,nd
201605,Kasachstan,0,0,0,nd,nd
201605,Jordanien,9,1,7,50,11.1111
201605,Kambodscha,0,0,0,nd,nd
201605,Katar,0,0,0,nd,nd
201605,Kuwait,0,0,0,nd,nd
201605,"Laos, Demokratische Volksrepublik",0,0,0,nd,nd
201605,Kirgisistan,6,1,1,80,66.6667
201605,Libanon,107,58,38,15.942,10.2804
201605,Oman,0,0,0,nd,nd
201605,Mongolei,19,7,12,0,0
201605,Nepal,0,0,0,nd,nd
201605,Staatsangehörigkeit ohne Bezeichnung,10,8,0,nd,nd
201605,Bangladesch,67,36,25,14.2857,8.95522
201605,Pakistan,237,109,114,11.3821,5.90717
201605,Philippinen,0,0,0,nd,nd
201605,China (Taiwan),0,0,0,nd,nd
201605,Korea (Republik),0,0,0,nd,nd
201605,Vereinigte arabische Emirate,1,0,0,nd,nd
201605,Tadschikistan,17,5,11,16.6667,5.88235
