YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2017-01,2,12,5,1,169
2017-02,5,7,5,2,108
2017-03,0,19,1,3,95
2017-04,55,156,18,3,395
2017-06,94,199,9,9,734
2017-07,117,195,9,15,990
2017-08,109,161,17,21,641
2017-09,79,224,17,5,416
2017-10,57,256,2,5,552
2017-11,97,411,3,8,591
2017-12,71,288,7,13,396
2018-01,79,318,7,6,518
2018-02,87,281,1,5,314
2018-03,61,277,14,12,355
2018-04,36,203,4,4,382
2018-05,49,173,3,7,384
2018-06,41,111,0,5,331
2018-07,36,129,3,3,297
2018-08,49,178,3,6,269
2018-09,52,200,0,1,341
2018-10,51,334,5,2,414
