YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2017-01,3,265,403,11,273
2017-02,6,253,428,17,289
2017-03,4,295,434,28,341
2017-04,6,273,260,40,269
2017-06,2,167,121,25,176
2017-07,6,163,162,16,219
2017-08,9,162,149,29,270
2017-09,7,132,90,39,174
2017-10,9,132,59,20,214
2017-11,7,171,69,36,264
2017-12,5,111,49,19,309
2018-01,9,129,63,28,293
2018-02,6,88,44,15,197
2018-03,6,99,36,18,230
2018-04,16,158,57,21,139
2018-05,11,106,28,6,122
2018-06,9,70,35,2,94
2018-07,5,107,10,5,78
2018-08,9,147,44,3,83
2018-09,14,115,26,7,79
