YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2018-01,101,386,410,33,26
2018-02,39,238,213,18,25
2018-03,33,235,228,26,15
2018-04,12,206,492,19,33
2018-05,7,89,327,18,33
2018-06,3,33,190,30,33
2018-07,0,70,122,15,26
2018-08,8,148,161,20,36
2018-09,4,156,166,24,27
2018-10,7,180,190,27,33
2018-11,0,174,187,20,28
2018-12,1,104,128,23,21
2019-01,11,158,153,26,43
2019-02,0,145,91,50,48
2019-03,3,230,94,41,33
2019-04,1,202,87,54,26
2019-05,0,176,61,46,32
2019-06,16,166,50,28,21
2019-07,7,175,56,33,19
2019-08,1,141,56,25,35
2019-09,3,168,56,27,30
2019-10,3,175,57,25,31
2019-11,0,180,43,19,30
