YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2015-01,173,5289,7,6,0,644
2015-02,153,4020,4,19,1,896
2015-03,132,4008,18,20,0,936
2015-04,82,3354,4,27,0,790
2015-05,98,3711,6,13,4,695
2015-06,97,5463,6,23,0,750
2015-07,107,5813,6,14,0,542
2015-08,91,6075,1,9,0,169
2015-09,51,6003,0,10,1,61
2015-10,60,12275,2,24,3,188
2015-11,51,19199,4,39,4,164
2015-12,72,24781,2,19,9,132
2016-01,83,24889,18,48,2,225
2016-02,87,26628,21,47,13,333
2016-03,73,22323,534,22,11,411
2016-04,55,16950,3440,38,17,427
2016-05,41,11522,4805,14,21,433
2016-06,47,12143,10224,67,19,603
2016-07,45,10126,13258,71,20,582
2016-08,48,7568,18191,37,20,545
2016-09,55,8997,23909,88,20,629
2016-10,67,8906,19358,171,32,534
2016-11,107,8955,16046,185,31,807
2016-12,69,6498,11576,150,19,810
2017-01,57,4415,8199,32,12,695
2017-02,61,3919,7908,53,21,789
2017-03,62,4447,8823,54,23,905
2017-04,63,3592,6120,48,12,693
2017-05,71,3577,6284,49,27,748
2017-06,32,2153,3007,70,7,426
2017-07,60,2325,3662,39,14,632
2017-08,67,2239,3135,49,9,769
2017-09,50,2050,2383,64,10,866
2017-10,66,2037,2173,32,2,910
2017-11,104,2005,2199,29,3,784
2017-12,44,1370,1896,35,3,582
2018-01,86,1326,2104,38,15,731
