YEAR_MONTH,Herkunftsland,LS,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstantraege,ASYLANTRÄGE davon Folgeantraege,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Fluechtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewaehrung von subsidiaerem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Fluechtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewaehrung von subsidiaerem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Fluechtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewaehrung von subsidiaerem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2015-03,Albanien,121,3020,2955,65,361,0,1,0,3,235,122,10954,270,0,1,0,3,224,103,0,0,0,0,11,9,10
2015-03,Bosnien und Herzegowina,122,690,380,310,595,0,0,0,2,306,287,2371,1342,0,0,0,1,284,60,0,0,0,1,22,173,54
2015-03,Belgien,124,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-03,Bulgarien,125,0,0,0,4,0,0,0,0,0,4,7,3,0,0,0,0,0,4,0,0,0,0,0,0,0
2015-03,Estland,127,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Frankreich,129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Kroatien,130,0,0,0,1,0,0,0,0,1,0,9,16,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-03,Slowenien,131,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Griechenland,134,2,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Italien,137,2,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Lettland,139,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Montenegro,140,272,236,36,100,0,0,0,0,67,33,723,199,0,0,0,0,50,6,0,0,0,0,17,23,4
2015-03,Litauen,142,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Mazedonien,144,1186,744,442,597,0,1,0,1,391,204,3131,1990,0,1,0,0,357,37,0,0,0,1,34,137,30
2015-03,Moldau (Republik),146,82,82,0,3,0,0,0,0,0,3,478,11,0,0,0,0,0,3,0,0,0,0,0,0,0
2015-03,Niederlande,148,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Kosovo,150,11729,11147,582,8401,0,0,1,9,7709,682,16445,2676,0,0,0,9,7349,416,0,0,1,0,360,207,59
2015-03,Polen,152,3,3,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Portugal,153,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Rumaenien,154,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Slowakische Republik,155,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Schweden,157,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Schweiz,158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Russische Foederation,160,368,278,90,415,3,7,0,27,110,268,5374,880,3,7,0,11,101,172,0,0,0,16,9,14,82
2015-03,Spanien,161,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Tuerkei,163,125,107,18,87,0,8,5,1,31,42,2478,356,0,8,5,0,30,37,0,0,0,1,1,3,2
2015-03,Tschechische Republik,164,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Ungarn,165,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-03,Ukraine,166,395,392,3,104,0,3,0,0,0,101,3229,60,0,3,0,0,0,99,0,0,0,0,0,0,2
2015-03,Grossbritannien mit Nordirland,168,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-03,Weissrussland,169,30,28,2,2,0,0,0,0,0,2,155,14,0,0,0,0,0,2,0,0,0,0,0,0,0
2015-03,Serbien,170,2833,1709,1124,2177,0,0,0,3,1365,809,8528,4946,0,0,0,3,1282,145,0,0,0,0,83,576,88
2015-03,Zypern,181,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-03,sonst. europ. Staatsangeh.,199,1,1,0,7,0,0,0,0,4,3,15,1,0,0,0,0,4,2,0,0,0,0,0,1,0
2015-03,Algerien,221,205,185,20,75,0,0,0,0,22,53,2267,154,0,0,0,0,22,45,0,0,0,0,0,2,6
2015-03,Angola,223,12,10,2,5,0,1,0,1,1,2,178,10,0,1,0,1,1,2,0,0,0,0,0,0,0
2015-03,Eritrea,224,316,306,10,359,2,225,15,5,5,107,15579,94,2,225,15,2,5,105,0,0,0,3,0,0,2
2015-03,Aethiopien,225,49,44,5,23,0,6,0,0,2,15,1782,59,0,5,0,0,2,15,0,1,0,0,0,0,0
2015-03,Botsuana,227,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Benin,229,25,25,0,12,0,0,0,0,4,8,285,5,0,0,0,0,4,8,0,0,0,0,0,0,0
2015-03,Dschibuti,230,2,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Elfenbeinkueste (Cote d Ivoire),231,36,34,2,16,0,0,0,0,4,12,258,16,0,0,0,0,4,11,0,0,0,0,0,0,1
2015-03,Nigeria,232,281,268,13,107,0,11,3,5,7,81,5666,160,0,11,2,5,7,81,0,0,1,0,0,0,0
2015-03,Simbabwe,233,0,0,0,1,0,0,0,0,1,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-03,Gabun,236,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Gambia,237,119,103,16,59,0,1,0,0,4,54,2202,63,0,1,0,0,4,54,0,0,0,0,0,0,0
2015-03,Ghana,238,113,108,5,36,0,0,0,1,12,23,1313,40,0,0,0,1,11,22,0,0,0,0,1,1,0
2015-03,Mauretanien,239,20,15,5,10,0,0,0,0,0,10,58,3,0,0,0,0,0,7,0,0,0,0,0,0,3
2015-03,Kenia,243,17,17,0,11,0,0,0,0,5,6,197,5,0,0,0,0,5,5,0,0,0,0,0,0,1
2015-03,Komoren,244,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Kongo,245,3,3,0,0,0,0,0,0,0,0,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,"Kongo, Dem. Republik",246,9,9,0,6,0,0,1,0,3,2,474,31,0,0,1,0,3,1,0,0,0,0,0,1,0
2015-03,Liberia,247,7,6,1,2,0,0,0,0,0,2,67,10,0,0,0,0,0,1,0,0,0,0,0,0,1
2015-03,Libyen,248,113,111,2,39,9,1,0,0,1,28,843,35,9,1,0,0,1,28,0,0,0,0,0,0,0
2015-03,Mali,251,38,35,3,31,0,0,0,0,10,21,617,13,0,0,0,0,10,19,0,0,0,0,0,0,2
2015-03,Marokko,252,176,161,15,60,0,0,1,1,19,39,1539,70,0,0,1,1,18,35,0,0,0,0,1,0,4
2015-03,Mauritius,253,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2015-03,Mosambik,254,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Niger,255,12,10,2,8,0,0,0,0,2,6,98,11,0,0,0,0,2,4,0,0,0,0,0,0,2
2015-03,Malawi,256,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Sambia,257,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Burkina-Faso,258,18,17,1,21,0,0,0,0,9,12,180,8,0,0,0,0,9,11,0,0,0,0,0,0,1
2015-03,Guinea-Bissau,259,40,40,0,23,0,0,0,0,0,23,302,7,0,0,0,0,0,18,0,0,0,0,0,0,5
2015-03,Guinea,261,55,51,4,24,0,4,0,3,1,16,1928,55,0,2,0,2,0,14,0,2,0,1,1,0,2
2015-03,Kamerun,262,53,53,0,47,0,0,1,2,9,35,732,31,0,0,0,2,9,35,0,0,1,0,0,0,0
2015-03,Suedafrika,263,1,1,0,1,0,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-03,Ruanda,265,4,4,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Namibia,267,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Senegal,269,50,49,1,22,0,0,0,0,0,22,1384,12,0,0,0,0,0,21,0,0,0,0,0,0,1
2015-03,Sierra Leone,272,23,18,5,6,0,0,0,0,0,6,427,33,0,0,0,0,0,5,0,0,0,0,0,0,1
2015-03,Somalia,273,297,283,14,188,0,36,16,9,19,108,6725,217,0,35,16,7,19,91,0,1,0,2,0,6,11
2015-03,Aequatorialguinea,274,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Sudan (ohne Suedsudan),277,49,44,5,36,2,2,7,2,9,14,675,25,2,2,7,1,9,13,0,0,0,1,0,0,1
2015-03,Suedsudan,278,1,1,0,1,0,0,0,0,0,1,28,5,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-03,Swasiland,281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Tansania,282,2,2,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Togo,283,5,5,0,10,0,0,0,0,2,8,216,20,0,0,0,0,2,8,0,0,0,0,0,0,0
2015-03,Tschad,284,23,21,2,22,0,0,0,1,8,13,127,24,0,0,0,0,8,4,0,0,0,1,0,1,8
2015-03,Tunesien,285,112,106,6,56,0,0,0,0,20,36,525,79,0,0,0,0,20,34,0,0,0,0,0,1,1
2015-03,Uganda,286,3,2,1,0,0,0,0,0,0,0,131,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Aegypten,287,95,87,8,63,7,0,1,1,8,46,2750,50,7,0,1,0,8,43,0,0,0,1,0,0,3
2015-03,Zentralafrikanische Republik,289,3,3,0,0,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Burundi,291,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,sonst. afrik. Staatsangeh.,299,4,4,0,4,0,0,0,2,0,2,52,10,0,0,0,2,0,1,0,0,0,0,0,1,0
2015-03,Argentinien,323,2,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Brasilien,327,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Chile,332,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2015-03,Dominikanische Republik,335,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Ecuador,336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,El Salvador,337,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Guatemala,345,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Honduras,347,1,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-03,Kolumbien,349,0,0,0,3,0,0,0,0,0,3,41,2,0,0,0,0,0,3,0,0,0,0,0,0,0
2015-03,Kuba,351,2,2,0,2,0,0,0,0,0,2,93,2,0,0,0,0,0,2,0,0,0,0,0,0,0
2015-03,Mexico,353,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Nicaragua,354,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Jamaica,355,1,1,0,2,0,0,0,0,1,1,19,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2015-03,Paraguay,359,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Peru,361,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Suriname,364,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-03,Venezuela,367,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Vereinigte Staaten v. Amerika,368,2,2,0,2,0,1,0,0,1,0,16,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2015-03,Trinidad und Tobago,371,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Jemen,421,20,20,0,10,0,0,0,0,0,10,251,11,0,0,0,0,0,4,0,0,0,0,0,0,6
2015-03,Armenien,422,109,92,17,82,0,4,1,3,16,58,2829,186,0,4,1,2,16,47,0,0,0,1,0,7,4
2015-03,Afghanistan,423,926,885,41,582,8,131,48,73,72,250,14171,731,8,123,42,58,71,226,0,8,6,15,1,13,11
2015-03,Bahrain,424,2,2,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Aserbaidschan,425,90,84,6,31,1,2,0,0,15,13,1856,188,1,1,0,0,14,12,0,1,0,0,1,1,0
2015-03,Bhutan,426,0,0,0,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Myanmar,427,1,1,0,0,0,0,0,0,0,0,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Georgien,430,266,242,24,229,0,0,0,0,147,82,2640,282,0,0,0,0,143,64,0,0,0,0,4,2,16
2015-03,Sri Lanka,431,19,14,5,14,0,7,0,0,4,3,832,138,0,7,0,0,4,2,0,0,0,0,0,1,0
2015-03,Vietnam,432,72,68,4,24,0,0,0,0,3,21,725,60,0,0,0,0,3,17,0,0,0,0,0,4,0
2015-03,Korea (Demokrat. Volksrepubl.),434,3,3,0,0,0,0,0,0,0,0,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Indien,436,121,116,5,24,0,0,0,0,17,7,2364,67,0,0,0,0,17,7,0,0,0,0,0,0,0
2015-03,Indonesien,437,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Irak,438,1192,1052,140,1263,9,1085,21,11,0,137,6177,2955,9,593,10,8,0,134,0,492,11,3,0,2,1
2015-03,"Iran, Islamische Republik",439,257,235,22,257,10,124,4,1,21,97,4904,471,10,114,4,0,15,95,0,10,0,1,6,0,2
2015-03,Israel,441,0,0,0,0,0,0,0,0,0,0,42,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Japan,442,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-03,Kasachstan,444,11,3,8,6,0,0,0,0,0,6,102,22,0,0,0,0,0,5,0,0,0,0,0,1,0
2015-03,Jordanien,445,10,10,0,4,0,1,1,0,1,1,144,22,0,1,1,0,1,1,0,0,0,0,0,0,0
2015-03,Kambodscha,446,2,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Kuwait,448,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,"Laos, Demokratische Volksrepublik",449,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Kirgisistan,450,6,6,0,5,0,0,0,0,1,4,89,17,0,0,0,0,1,4,0,0,0,0,0,0,0
2015-03,Libanon,451,70,66,4,48,0,2,0,0,19,27,819,125,0,2,0,0,19,17,0,0,0,0,0,6,4
2015-03,Oman,456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,Mongolei,457,38,32,6,17,0,0,0,0,2,15,532,20,0,0,0,0,2,15,0,0,0,0,0,0,0
