YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2015-05,Albanien,121,4922,4864,58,1229,0,0,3,0,1060,166,18590,363,0,0,3,0,1058,154,0,0,0,0,2,12,0
2015-05,Bosnien und Herzegowina,122,542,382,160,405,0,0,0,2,184,219,2828,1269,0,0,0,2,167,60,0,0,0,0,17,122,37
2015-05,Belgien,124,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Bulgarien,125,7,7,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Estland,127,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Kroatien,130,1,0,1,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Slowenien,131,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Griechenland,134,5,5,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Italien,137,1,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Lettland,139,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Montenegro,140,335,313,22,150,0,0,0,1,132,17,1117,232,0,0,0,0,129,7,0,0,0,1,3,6,4
2015-05,Litauen,142,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Mazedonien,144,996,637,359,431,0,0,0,0,320,111,3695,2446,0,0,0,0,280,39,0,0,0,0,40,50,22
2015-05,Moldau (Republik),146,112,110,2,1,0,0,0,0,1,0,686,13,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-05,Niederlande,148,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-05,Kosovo,150,1947,1781,166,3437,0,2,6,13,3052,364,13910,2287,0,2,6,12,2875,260,0,0,0,1,177,76,28
2015-05,Polen,152,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Portugal,153,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Rumaenien,154,2,1,1,2,0,0,0,0,2,0,7,3,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-05,Slowakische Republik,155,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Schweden,157,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Schweiz,158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Russische Foederation,160,471,385,86,453,0,13,3,1,78,358,5550,1008,0,10,3,1,75,244,0,3,0,0,3,2,112
2015-05,Spanien,161,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Tuerkei,163,146,133,13,73,0,6,0,4,19,44,2626,372,0,6,0,2,19,39,0,0,0,2,0,3,2
2015-05,Tschechische Republik,164,0,0,0,5,0,0,0,0,0,5,1,5,0,0,0,0,0,5,0,0,0,0,0,0,0
2015-05,Ungarn,165,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Ukraine,166,506,502,4,110,0,0,0,1,0,109,3985,76,0,0,0,1,0,106,0,0,0,0,0,1,2
2015-05,Grossbritannien mit Nordirland,168,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,Weissrussland,169,54,54,0,12,0,0,0,0,0,12,207,18,0,0,0,0,0,12,0,0,0,0,0,0,0
2015-05,Serbien,170,1990,1395,595,1607,0,0,0,2,899,706,9357,5042,0,0,0,2,844,171,0,0,0,0,55,442,93
2015-05,sonst. europ. Staatsangeh.,199,0,0,0,5,0,0,0,0,5,0,16,1,0,0,0,0,5,0,0,0,0,0,0,0,0
2015-05,Algerien,221,280,257,23,79,1,1,0,0,21,56,2596,182,1,1,0,0,21,46,0,0,0,0,0,3,7
