1,"Syrien, Arabische Republik",60993,60661,332,52381,51677,167,39,95,"98,9%",14,556
2,Irak,16765,16621,144,4867,4060,49,148,28,"87,0%",154,477
3,Afghanistan,12467,12404,63,1523,410,8,99,210,"47,2%",376,428
4,Ungeklärt,6419,6350,69,2701,2579,6,5,2,"95,7%",58,57
5,"Iran, Islamische Republik",2766,2719,47,555,293,28,5,13,"56,0%",127,117
6,Albanien,2686,2470,216,10221,2,-,15,11,"0,3%",8531,1662
7,Pakistan,1705,1669,36,728,37,-,2,5,"6,0%",508,176
8,Eritrea,1582,1556,26,4222,4060,40,19,1,"96,6%",24,118
9,Staatenlos,1158,1148,10,825,802,2,-,-,"97,2%",11,12
10,Serbien,1873,1032,841,5779,-,-,-,3,"0,1%",3877,1899
