1,"Syrien, Arabische Republik",60.993,60.661,332,52.381,51.677,167,39,95,"98,9%",14,556
2,Irak,16.765,16.621,144,4.867,4.060,49,148,28,"87,0%",154,477
3,Afghanistan,12.467,12.404,63,1.523,410,8,99,210,"47,2%",376,428
4,Ungeklärt,6.419,6.350,69,2.701,2.579,6,5,2,"95,7%",58,57
5,"Iran, Islamische Republik",2.766,2.719,47,555,293,28,5,13,"56,0%",127,117
6,Albanien,2.686,2.470,216,10.221,2,-,15,11,"0,3%",8.531,1.662
7,Pakistan,1.705,1.669,36,728,37,-,2,5,"6,0%",508,176
8,Eritrea,1.582,1.556,26,4.222,4.060,40,19,1,"96,6%",24,118
9,Staatenlos,1.158,1.148,10,825,802,2,-,-,"97,2%",11,12
10,Serbien,1.873,1.032,841,5.779,-,-,-,3,"0,1%",3.877,1.899
