YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,1,9,2,10,61
2020-02,0,27,2,5,40
2020-03,0,7,0,6,53
2020-04,0,9,0,5,12
2020-05,0,6,3,9,73
2020-06,0,11,2,8,40
2020-07,3,10,1,5,45
2020-08,0,4,1,10,26
2020-09,0,16,0,10,30
2020-10,0,21,1,9,55
2020-11,1,21,1,14,39
2020-12,0,16,0,7,22
2021-01,0,19,1,13,19
2021-02,0,23,1,7,40
2021-03,0,24,2,16,26
2021-04,7,16,0,6,21
2021-05,0,16,1,7,43
2021-06,4,21,0,7,27
2021-07,13,20,1,8,26
2021-08,0,19,0,11,25
2021-09,1,18,0,7,29
2021-10,0,16,1,2,26
2021-11,0,24,1,6,31
