YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,12,7,14,3,199
2020-02,3,5,5,1,155
2020-03,15,6,1,6,172
2020-04,6,5,0,3,121
2020-05,7,19,6,6,223
2020-06,1,18,5,2,230
2020-07,4,13,4,6,208
2020-08,3,11,9,2,77
2020-09,1,6,1,4,106
2020-10,4,13,5,3,144
2020-11,3,9,3,8,194
2020-12,4,7,5,3,103
2021-01,4,9,1,2,148
2021-02,1,19,3,3,173
2021-03,1,10,4,5,143
2021-04,1,9,4,4,113
2021-05,1,10,2,0,87
2021-06,1,10,5,0,88
2021-07,6,18,5,1,133
2021-08,2,10,1,1,76
2021-09,1,17,6,2,85
2021-10,1,8,2,1,118
2021-11,1,13,4,7,85
