YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,4,147,30,20,60
2020-02,6,121,19,30,57
2020-03,2,111,21,21,40
2020-04,7,103,6,5,12
2020-05,6,82,44,27,84
2020-06,2,110,29,20,77
2020-07,4,94,31,23,48
2020-08,2,97,15,16,31
2020-09,3,124,11,10,45
2020-10,5,124,8,12,41
2020-11,4,129,26,21,30
2020-12,5,105,21,20,37
2021-01,20,112,32,18,36
2021-02,3,118,13,27,69
2021-03,2,133,21,22,49
2021-04,3,89,8,12,32
2021-05,11,80,19,18,39
2021-06,20,113,23,19,40
2021-07,7,145,22,19,37
2021-08,7,156,21,20,31
2021-09,4,191,29,30,60
2021-10,9,195,14,26,36
2021-11,3,171,17,19,46
