YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,2,9,40,2,2
2020-02,0,4,35,4,10
2020-03,1,8,40,2,7
2020-04,1,2,16,0,7
2020-05,2,0,38,0,22
2020-06,2,2,15,2,13
2020-07,4,4,27,1,12
2020-08,1,0,21,2,11
2020-09,2,10,15,2,7
2020-10,0,10,10,6,15
2020-11,3,1,19,7,6
2020-12,5,6,18,1,9
2021-01,0,4,30,2,1
2021-02,2,0,15,5,12
2021-03,0,4,19,0,7
2021-04,0,0,14,1,3
2021-05,0,1,12,2,8
2021-06,0,1,13,0,9
2021-07,1,0,20,2,8
2021-08,6,2,8,2,8
2021-09,1,2,18,0,5
2021-10,1,0,12,0,5
2021-11,0,3,17,0,8
