YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,0,1,0,1,80
2020-02,1,0,0,3,55
2020-03,0,4,1,1,67
2020-04,1,2,0,0,46
2020-05,3,5,2,4,123
2020-06,0,4,1,1,114
2020-07,0,8,0,0,72
2020-08,1,6,0,1,59
2020-09,0,8,1,2,51
2020-10,0,4,3,1,37
2020-11,0,5,1,2,56
2020-12,0,3,3,0,33
2021-01,0,5,1,2,43
2021-02,0,3,6,2,69
2021-03,0,3,4,0,56
2021-04,0,1,0,1,27
2021-05,0,1,1,0,33
2021-06,0,2,1,0,45
2021-07,0,1,0,1,34
2021-08,1,8,0,0,38
2021-09,0,5,1,1,24
2021-10,0,2,3,1,20
2021-11,0,1,1,0,28
