YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2018-10,Albanien,121,309,206,103,281,0,0,0,0,168,113,287,157,0,0,0,0,156,33,0,0,0,0,12,75,5
2018-10,Bosnien und Herzegowina,122,77,21,56,62,0,0,0,0,28,34,49,48,0,0,0,0,22,3,0,0,0,0,6,31,0
2018-10,Belgien,124,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,Bulgarien,125,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-10,Daenemark u. Faeroeer,126,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,Finnland,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,Frankreich,129,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,Griechenland,134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,Italien,137,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,Lettland,139,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,Montenegro,140,15,2,13,26,0,0,0,0,14,12,12,17,0,0,0,0,9,2,0,0,0,0,5,7,3
2018-10,Mazedonien,144,225,126,99,220,0,0,0,2,107,111,180,140,0,0,0,2,93,13,0,0,0,0,14,91,7
2018-10,Moldau (Republik),146,98,57,41,115,0,0,0,1,76,38,135,20,0,0,0,1,73,5,0,0,0,0,3,32,1
2018-10,Kosovo,150,85,51,34,110,0,0,0,0,57,53,95,68,0,0,0,0,56,12,0,0,0,0,1,36,5
2018-10,Polen,152,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,Portugal,153,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,Rumaenien,154,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,Russische Foederation,160,395,302,93,667,29,8,4,12,341,273,974,323,29,6,4,9,325,156,0,2,0,3,16,48,69
2018-10,Spanien,161,0,0,0,3,0,0,0,0,3,0,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0
2018-10,Tuerkei,163,1206,1158,48,903,51,334,5,2,414,97,5300,196,51,328,2,2,400,76,0,6,3,0,14,13,8
2018-10,Ukraine,166,103,76,27,100,0,1,0,2,71,26,283,48,0,1,0,2,66,12,0,0,0,0,5,12,2
2018-10,Weissrussland,169,21,17,4,36,0,0,0,1,21,14,25,13,0,0,0,0,12,10,0,0,0,1,9,1,3
2018-10,Serbien,170,185,104,81,251,0,0,0,1,133,117,159,102,0,0,0,1,112,12,0,0,0,0,21,97,8
2018-10,Zypern,181,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,Algerien,221,90,67,23,142,0,3,1,1,58,79,188,44,0,3,1,0,55,56,0,0,0,1,3,19,4
2018-10,Angola,223,17,17,0,30,0,2,0,5,13,10,56,2,0,2,0,3,13,9,0,0,0,2,0,0,1
2018-10,Eritrea,224,316,296,20,585,7,180,190,27,33,148,1561,80,7,179,185,20,33,129,0,1,5,7,0,6,13
2018-10,"Aethiopien",225,110,91,19,145,0,14,2,13,68,48,356,39,0,14,2,13,67,34,0,0,0,0,1,5,9
2018-10,Benin,229,13,12,1,14,0,0,0,0,7,7,32,3,0,0,0,0,6,6,0,0,0,0,1,0,1
2018-10,Dschibuti,230,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,Elfenbeinkueste (Cote d Ivoire),231,55,52,3,99,0,3,0,2,64,30,170,5,0,3,0,2,63,25,0,0,0,0,1,2,3
2018-10,Nigeria,232,794,719,75,1028,4,48,14,45,491,426,3179,214,4,42,14,43,485,343,0,6,0,2,6,53,30
2018-10,Simbabwe,233,6,6,0,17,0,1,0,0,11,5,35,0,0,1,0,0,11,4,0,0,0,0,0,0,1
2018-10,Gabun,236,2,2,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018-10,Gambia,237,135,122,13,233,1,4,1,15,133,79,375,44,1,4,1,15,130,58,0,0,0,0,3,11,10
2018-10,Ghana,238,80,66,14,104,0,1,0,2,67,34,194,35,0,1,0,2,65,20,0,0,0,0,2,13,1
2018-10,Mauretanien,239,3,3,0,1,0,0,0,0,1,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-10,Kenia,243,24,23,1,20,0,0,0,0,19,1,86,1,0,0,0,0,18,1,0,0,0,0,1,0,0
2018-10,Komoren,244,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,Kongo,245,1,1,0,6,0,0,0,0,4,2,16,0,0,0,0,0,4,2,0,0,0,0,0,0,0
2018-10,"Kongo, Dem. Republik",246,24,18,6,23,0,0,0,1,13,9,88,14,0,0,0,1,13,2,0,0,0,0,0,6,1
2018-10,Liberia,247,8,7,1,16,0,0,0,1,5,10,50,4,0,0,0,1,5,8,0,0,0,0,0,0,2
2018-10,Libyen,248,63,57,6,95,0,5,10,5,13,62,229,13,0,5,10,5,12,57,0,0,0,0,1,2,3
2018-10,Madagaskar,249,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10,Mali,251,28,22,6,39,0,1,2,2,16,18,73,20,0,1,2,2,15,13,0,0,0,0,1,5,0
2018-10,Marokko,252,102,77,25,138,0,2,1,1,77,57,205,53,0,2,1,1,76,31,0,0,0,0,1,16,10
