Albanien,121,220,141,79,238,-,-,-,1,125,112,266,112,-,-,-,1,121,30,-,-,-,-,4,71,11,
Bosnien und Herzegowina,122,70,45,25,88,-,-,-,1,44,43,55,10,-,-,-,-,40,5,-,-,-,1,4,32,6,
Belgien,124,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Bulgarien,125,-,-,-,3,-,-,-,-,1,2,2,-,-,-,-,-,1,2,-,-,-,-,-,-,-,
Finnland,128,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Frankreich,129,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Griechenland,134,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,
Italien,137,1,-,1,4,-,-,-,-,3,1,10,1,-,-,-,-,3,-,-,-,-,-,-,1,-,
Lettland,139,-,-,-,1,-,-,-,-,1,-,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,
Montenegro,140,26,12,14,43,-,-,-,-,11,32,49,8,-,-,-,-,8,1,-,-,-,-,3,31,-,
Mazedonien,144,178,96,82,268,-,-,-,2,162,104,183,92,-,-,-,-,133,15,-,-,-,2,29,73,16,
Moldau (Republik),146,128,100,28,179,-,-,-,1,139,39,102,27,-,-,-,1,134,5,-,-,-,-,5,29,5,
Niederlande,148,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Norwegen,149,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,
Kosovo,150,84,39,45,135,-,-,-,6,45,84,106,73,-,-,-,5,35,18,-,-,-,1,10,54,12,
"Österreich",151,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Polen,152,1,1,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Portugal,153,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Rumänien,154,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Schweden,157,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,
Russische Föderation,160,355,237,118,700,11,20,6,27,333,303,972,292,11,13,2,16,292,171,-,7,4,11,41,57,75,
Spanien,161,-,-,-,1,-,-,-,-,1,-,10,2,-,-,-,-,1,-,-,-,-,-,-,-,-,
