YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2019-01,13,26,9,0,281,298
2019-02,10,9,14,1,241,292
2019-03,7,11,3,5,257,335
2019-04,0,12,2,2,211,222
2019-05,2,16,8,3,207,257
2019-06,17,10,8,1,147,193
2019-07,5,18,6,7,158,274
2019-08,13,15,12,1,205,241
2019-09,7,7,4,6,148,258
2019-10,7,16,6,0,169,284
2019-11,16,7,3,6,162,265
2019-12,6,1,0,2,122,189
2020-01,12,7,14,3,199,282
2020-02,3,5,5,1,155,319
2020-03,15,6,1,6,172,260
2020-04,6,5,0,3,121,102
