YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2018-01,86,1326,2104,38,15,731
2018-02,126,916,1578,18,10,533
2018-03,68,998,1578,21,13,1341
2018-04,90,1146,1483,21,3,860
2018-05,49,1380,1307,28,7,638
2018-06,27,996,1168,23,5,550
2018-07,15,1001,1126,14,6,713
2018-08,50,1645,1495,17,10,770
2018-09,21,2021,1383,16,2,543
2018-10,42,2337,1584,28,13,515
2018-11,39,2353,1480,10,1,518
2018-12,29,1503,1118,35,0,478
2019-01,39,2079,1880,33,8,622
2019-02,23,1891,1803,18,1,772
2019-03,39,2833,1331,244,4,674
2019-04,45,1889,420,142,1,452
2019-05,33,1791,369,10,4,699
2019-06,12,1577,1106,13,8,537
2019-07,37,2184,2261,21,3,728
2019-08,38,1754,1430,18,13,824
2019-09,19,1512,1197,17,5,620
2019-10,25,1491,1151,18,7,577
2019-11,27,1894,1262,17,2,629
2019-12,16,1476,950,15,2,472
