YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2018-01,79,318,7,6,518
2018-02,87,281,1,5,314
2018-03,61,277,14,12,355
2018-04,36,203,4,4,382
2018-05,49,173,3,7,384
2018-06,41,111,0,5,331
2018-07,36,129,3,3,297
2018-08,49,178,3,6,269
2018-09,52,200,0,1,341
2018-10,51,334,5,2,414
2018-11,78,443,6,6,437
2018-12,66,331,1,2,293
2019-01,97,426,5,3,432
2019-02,70,459,2,4,429
2019-03,79,378,4,3,358
2019-04,56,267,4,1,351
2019-05,40,252,0,4,369
2019-06,30,138,1,4,314
2019-07,66,289,4,3,410
2019-08,60,338,9,2,386
2019-09,66,308,7,2,342
2019-10,53,252,0,1,388
2019-11,44,332,1,3,360
2019-12,109,669,1,3,308
